JTC Space @ Tuas, Singapore
Tuas Biomedical Park, Singapore
Tuas South Incineration Plant, Singapore
The Signature, Changi Business Park, Singapore
Eightrium @ Changi Business Park, Singapore
JTC Space @ Tampines North, Singapore
Seletar Aerospace Park, Singapore
Rolls-Royce Seletar Campus, Singapore
Airbus Asia Training Centre, Singapore
Bombardier Service Centre Singapore, Singapore
Jurong Innovation District, Singapore
Tengah Industrial Estate, Singapore
JTC CleanTech Park, Singapore
Mapletree Business City, Singapore
one-north Fusionopolis, Singapore
Biopolis @ one-north, Singapore
Paya Lebar Air Base, Singapore
Loyang Offshore Supply Base, Singapore
Changi Airfreight Centre, Singapore
Pasir Ris Wafer Fab Park, Singapore
